1	Bptf	Cbfa2t3h	Cdkn2a	Dnmt3a	Eif2b1	Erg	Ets1	Ets2	Etv6	Ezh2	Fli1	Foxo3a	Gata1	Gata2	Gata3	Gfi1	Gfi1b	Hhex	HoxA5	HoxA9	HoxB4	Ikzf1	Kit	Ldb1	Lmo2	Lyl1	Mecom	Meis1	Mitf	Mpl	Mrpl19	Myb	Nfe2	Notch1	Pbx1	Polr2a	Prdm16	Procr	Runx1	Sfpi1	Sh2b3	Smarcc1	Smarcc2	Tal1	Tcf7	Tet2	Ubc	Vwf
shGata2_037	4.34325651	15	15	0.0163312599999994	2.48871594	15	15	4.54212444	5.72580283	7.24921198	2.62218345	2.06481443	15	15	15	15	15	15	15	15	5.16902533	3.53382907	-1.85172082	2.95496646	3.64795549	3.82231102	15	3.14351662	4.38816874	15	3.28854544	15	15	15	15	2.75454346	15	15	3.50343972	4.00578215	15	2.96308105	4.04256285	15	15	4.16806534	-2.75454346	1.98673557
shGata2_038	6.762635	15	15	5.2290297	1.86100824	4.41421174	15	3.85922481	2.21245929	5.96274689	0.486221490000002	1.13356409	15	15	15	15	15	2.74508047	15	15	15	2.92020457	-1.35229878	1.96506321	2.7499542	0.588645920000001	15	0.320557390000001	15	3.44714032	2.20164909	1.88732148	3.76705546	15	15	2.52943399	15	15	2.13789766	4.04591492	15	0.603294090000002	4.09913396	1.09592714	15	5.96263145	-2.52943399	15
shGata2_039	3.93788062	3.81219036	5.82276224	4.68022872	1.50890168	3.89944012	15	2.72743174	1.92842978	7.97001248	1.68750536	0.817526399999998	15	2.38914919	5.43972541	15	2.71908792	2.86143461	15	15	4.90379444	2.48645086	-2.05262687	2.59671776	11.5401186	-0.656490930000002	15	-0.180863500000001	4.9045879	2.51208326	2.76092857	0.517454439999998	1.92599251	7.73670878	5.36021231	2.43489563	15	2.91160917	3.53237427	2.29603309	15	1.37020578	2.95527548	2.03291545	15	2.61912367	-2.43489563	15
shGata2_040	3.65156682	2.93437574	15	4.63605158	1.7000978	15	15	2.3684246	2.08758485	15	-0.42884475	-0.12832584	2.37408195	4.92646021	15	15	15	3.04036151	15	15	15	2.24790474	-1.43516727	1.99412063	1.76994038	1.00268057	15	-0.713826189999999	15	1.45254259	1.8232605	-1.46930278	0.53766418	15	1.40320263	2.01140069	15	15	1.27579299	4.91533234	15	0.454682040000002	2.83681129	1.61590837	15	3.9622224	-2.01140069	15
shGata2_041	3.454861625	2.760040445	15	5.174699055	2.401246845	4.686790265	15	1.562420695	3.043412755	15	0.857754275	1.896760925	15	1.897603985	4.531000525	15	15	2.643116395	15	15	15	2.241508135	-1.909780275	4.087440675	15	-0.592969865000001	15	0.468592305	15	5.402637355	3.319214715	0.526578344999999	1.449025545	15	3.329127735	1.848300635	15	5.045575175	3.864497385	3.220143325	15	1.495088965	5.054512085	2.123856595	15	3.156746285	-1.848300635	15
shGata2_042	4.249696355	1.866300875	15	4.620733745	1.833374055	3.565699415	15	5.572681475	2.367949495	15	0.716752485000001	1.177597725	15	2.190724215	4.336682595	15	3.306634565	3.581995945	15	15	15	0.935645425000001	-1.856436805	3.682433675	2.486615955	0.184846415000001	15	-0.224616424999999	15	1.804455585	3.164620685	0.484307265000002	1.497367415	15	6.138649885	2.769186285	15	2.665805085	2.770144845	2.483991925	15	1.432238295	3.335049615	1.632261115	15	3.240289505	-2.769186285	15
shGata2_043	2.54611862	4.11223572	15	15	3.46081638	2.38742642	15	2.8583018	15	6.20935216	0.865044959999999	2.03385968	15	4.16209998	15	15	15	1.79210278	15	15	3.52144325	2.53313788	-0.75567588	15	1.00107776	2.29709941	15	-0.295628600000001	15	2.74833737	2.21286922	2.76251161	2.27349674	15	15	1.4617074	15	15	15	3.98455166	15	1.99716339	15	1.53227911	15	2.85917631	-1.4617074	15
shGata2_044	3.449727005	3.359366475	15	6.139723055	1.552015685	6.658818515	15	5.389178795	5.573115985	6.262987435	0.890922045	-0.208288784999997	2.942105245	6.250798345	7.563134915	10.510938155	3.832649635	8.303926915	15	15	15	1.740818245	-1.127940755	1.992282395	1.362130455	-0.264975924999998	15	0.117619525000002	7.195069885	3.492317705	2.255587625	-0.951206244999998	-0.168307774999999	15	5.883288165	1.842868165	15	6.654949385	3.476977795	3.442905785	15	1.531561315	6.216711045	1.040785435	15	3.780302945	-1.842868165	15
shGata2_045	3.373501695	1.278587755	15	2.163588975	1.020499775	3.970738525	15	1.969551075	1.547982895	5.387056165	-0.997184575000002	-0.952252385000001	2.179000785	2.275124995	3.783799735	15	4.788083355	15	15	15	15	1.432393565	-1.788743855	3.257007325	1.333471715	0.246151724999999	15	-1.134996165	11.269817435	0.0874515549999995	1.922511815	-0.695776445000002	0.407179124999999	15	1.163687805	2.320565305	15	8.819200755	2.016704105	5.098415525	15	-0.0670073250000005	3.674335485	2.725537885	15	2.237711195	-2.320565305	15
shGata2_046	9.50045864	3.96042114	6.34430754	3.95672122	2.00284726	4.96851212	7.74841138	2.67603119	3.28110099	6.25292122	0.0475132599999988	-0.179127070000002	8.38998792	4.46653376	10.54748543	11.15444641	2.832731	10.44983735	15	15	15	3.25191157	-1.1302437	4.80881182	4.35721326	1.9694839	15	0.296328299999999	3.77929455	1.31347316	3.93853278	1.26875285	1.81751888	15	7.75259199	2.52893538	15	3.41021887	2.1086038	3.68497451	15	1.03484636	3.05879239	3.05711775	15	3.56735872	-2.52893538	15
